repo,policy,tau,n_prs,conflicts,obs_conflicts,avoided_pct,new_conflicts,added_delay_days,delay_days_per_pr,makespan_days,makespan_inflation_pct
taiga-family/taiga-ui,fifo,,21,0,31,100.0,0,107.0770601851852,5.098907627865962,17.45181712962963,21.62594687727116
taiga-family/taiga-ui,oracle,,21,0,31,100.0,0,21.654606481481483,1.031171737213404,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.1,21,0,31,100.0,0,107.0770601851852,5.098907627865962,17.45181712962963,21.62594687727116
taiga-family/taiga-ui,predictor,0.15,21,0,31,100.0,0,107.0770601851852,5.098907627865962,17.45181712962963,21.62594687727116
taiga-family/taiga-ui,predictor,0.2,21,0,31,100.0,0,94.02556712962964,4.477407958553792,16.57962962962963,15.547460622569524
taiga-family/taiga-ui,predictor,0.25,21,7,31,77.41935483870968,0,20.714525462962964,0.9864059744268078,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.3,21,18,31,41.935483870967744,0,2.9354050925925925,0.1397811948853615,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.4,21,31,31,0.0,0,0.0,0.0,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.5,21,31,31,0.0,0,0.0,0.0,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.65,21,31,31,0.0,0,0.0,0.0,14.348761574074077,0.0
taiga-family/taiga-ui,predictor,0.8,21,31,31,0.0,0,0.0,0.0,14.348761574074077,0.0
microsoft/finops-toolkit,observed,,23,13,13,0.0,0,0.0,0.0,59.015023148148146,0.0
microsoft/finops-toolkit,fifo,,23,0,13,100.0,0,1124.3308449074073,48.88394977858293,147.3795486111111,149.73225587175892
microsoft/finops-toolkit,oracle,,23,0,13,100.0,0,42.82211805555555,1.8618312198067632,67.18892361111111,13.850541822958608
microsoft/finops-toolkit,predictor,0.1,23,1,13,92.3076923076923,1,935.9775925925924,40.69467793880837,126.78118055555557,114.82865513293268
microsoft/finops-toolkit,predictor,0.15,23,6,13,53.84615384615385,2,209.06755787037036,9.089893820450886,65.75782407407407,11.425566857779856
microsoft/finops-toolkit,predictor,0.2,23,9,13,30.76923076923077,0,46.85408564814815,2.037134158615137,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.25,23,13,13,0.0,0,8.315763888888888,0.3615549516908212,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.3,23,13,13,0.0,0,0.4306712962962964,0.0187248389694041,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.4,23,13,13,0.0,0,0.0,0.0,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.5,23,13,13,0.0,0,0.0,0.0,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.65,23,13,13,0.0,0,0.0,0.0,59.015023148148146,0.0
microsoft/finops-toolkit,predictor,0.8,23,13,13,0.0,0,0.0,0.0,59.015023148148146,0.0
analogdotnow/Analog,observed,,26,21,21,0.0,0,0.0,0.0,47.205787037037034,0.0
analogdotnow/Analog,fifo,,26,0,21,100.0,0,1091.5744097222223,41.983631143162405,135.28094907407413,186.5770439711862
analogdotnow/Analog,oracle,,26,0,21,100.0,0,87.2810416666667,3.356963141025642,64.57274305555558,36.7898876569787
analogdotnow/Analog,predictor,0.1,26,0,21,100.0,0,1091.5744097222223,41.983631143162405,135.28094907407413,186.5770439711862
analogdotnow/Analog,predictor,0.15,26,0,21,100.0,0,1091.5744097222223,41.983631143162405,135.28094907407413,186.5770439711862
analogdotnow/Analog,predictor,0.2,26,7,21,66.66666666666667,2,295.09063657407404,11.349639868233616,88.3972453703704,87.25934026058096
analogdotnow/Analog,predictor,0.25,26,23,21,-9.523809523809524,5,79.40815972222222,3.054159989316239,49.17336805555556,4.168092816617552
analogdotnow/Analog,predictor,0.3,26,20,21,4.761904761904762,0,9.419039351851865,0.3622707443019947,47.85837962962964,1.3824419283182097
analogdotnow/Analog,predictor,0.4,26,21,21,0.0,0,0.0,0.0,47.205787037037034,0.0
analogdotnow/Analog,predictor,0.5,26,21,21,0.0,0,0.0,0.0,47.205787037037034,0.0
analogdotnow/Analog,predictor,0.65,26,21,21,0.0,0,0.0,0.0,47.205787037037034,0.0
analogdotnow/Analog,predictor,0.8,26,21,21,0.0,0,0.0,0.0,47.205787037037034,0.0
dotnet/fsharp,observed,,26,66,66,0.0,0,0.0,0.0,71.649375,0.0
dotnet/fsharp,fifo,,26,0,66,100.0,0,2648.3683564814814,101.8603214031339,209.10178240740743,191.84034390726703
dotnet/fsharp,oracle,,26,0,66,100.0,0,1871.9222222222224,71.99700854700855,192.93070601851852,169.2706056661604
dotnet/fsharp,predictor,0.1,26,0,66,100.0,0,2648.3683564814814,101.8603214031339,209.10178240740743,191.84034390726703
dotnet/fsharp,predictor,0.15,26,0,66,100.0,0,2648.3683564814814,101.8603214031339,209.10178240740743,191.84034390726703
dotnet/fsharp,predictor,0.2,26,0,66,100.0,0,2648.3683564814814,101.8603214031339,209.10178240740743,191.84034390726703
dotnet/fsharp,predictor,0.25,26,18,66,72.72727272727273,4,1120.9612731481484,43.11389512108263,128.9555439814815,79.98139408959464
dotnet/fsharp,predictor,0.3,26,23,66,65.15151515151516,0,900.692939814815,34.642036146723655,120.47550925925928,68.14593185112818
